SPECIES,HUC12,FREQUENCY,Habitat_Miles
Brown trout,170102040703,6,7
Brown trout,170102040704,5,3
Brown trout,170102040705,4,3
Brown trout,170102040707,6,5
Brown trout,170102040708,7,7
Brown trout,170102040710,2,1
Brown trout,170102040711,1,2
Brown trout,170102040712,4,13
Brown trout,170102040801,1,4
Brown trout,170102040802,4,8
Brown trout,170102040803,3,8
Brown trout,170102040805,2,7
Brown trout,170102040806,1,9
Brown trout,170102040807,3,15
Brown trout,170102050108,1,0
Brown trout,170102050201,1,0
Brown trout,170102050202,2,1
Brown trout,170102050203,3,2
Brown trout,170102050204,12,11
Brown trout,170102050301,5,7
Brown trout,170102050303,6,6
Brown trout,170102050304,2,4
Brown trout,170102050305,8,15
Brown trout,170102050401,2,1
Brown trout,170102050402,2,1
Brown trout,170102050403,5,2
Brown trout,170102050404,2,1
Brown trout,170102050405,4,3
Brown trout,170102050501,3,3
Brown trout,170102050502,3,1
Brown trout,170102050503,8,14
Brown trout,170102050504,2,1
Brown trout,170102050505,4,5
Brown trout,170102050506,12,16
Brown trout,170102050601,6,12
Brown trout,170102050602,8,6
Brown trout,170102050703,3,2
Brown trout,170102050705,3,3
Brown trout,170102050802,3,1
Brown trout,170102050803,6,3
Brown trout,170102050804,5,10
Brown trout,170102050806,4,10
Brown trout,170102050807,8,19
Brown trout,170102050902,3,1
Brown trout,170102050903,2,6
Brown trout,170102050904,16,10
Brown trout,170102051001,5,4
Brown trout,170102051002,5,4
Brown trout,170102051003,10,8
Brown trout,170102051005,3,7
Brown trout,170102051006,4,4
Brown trout,170102051007,8,12
Brown trout,170102051101,4,6
Brown trout,170102051102,4,3
Brown trout,170102051103,3,3
Brown trout,170102051104,5,6
Brown trout,170102051105,12,16
Brown trout,170102051201,9,12
Brown trout,170102051203,4,9
Brown trout,170102051301,1,0
Brown trout,170102051302,5,3
Brown trout,170102051305,6,6
Brown trout,170102051401,7,7
Brown trout,170102051402,7,5
Brown trout,170102051403,2,0
Brown trout,170102051404,3,4
Brown trout,170102051405,9,11
Brown trout,170102051406,4,3
Brown trout,170102051407,5,3
Brown trout,170102051408,9,14
Brown trout,170102051409,5,13
Brown trout,170102051503,8,6
Brown trout,170102051506,2,10
Brown trout,170102051508,1,8
Brown trout,170102051601,2,1
Brown trout,170102051602,7,4
Brown trout,170102051603,2,12
Brown trout,170102080207,1,1
Brown trout,170102080501,2,4
Brown trout,170102110305,2,1
Brown trout,170102120301,2,4
Brown trout,170102120305,1,14
Brown trout,170102120605,4,13
Brown trout,170102120606,1,8
Brown trout,170102120607,1,9
Brown trout,170102120802,1,9
Brown trout,170102120809,1,10
Brown trout,170102120810,4,7
Brown trout,170102130102,1,4
Brown trout,170102130105,6,14
Brown trout,170102130201,2,2
Brown trout,170102130203,1,0
Brown trout,170102130205,7,14
Brown trout,170102130303,1,0
Brown trout,170102130305,2,0
Brown trout,170102130404,3,2
Brown trout,170102130406,8,11
Brown trout,170102130407,1,7
Brown trout,170102130503,5,6
Brown trout,170102130505,1,1
Brown trout,170102130506,2,14
Brown trout,170102130509,4,4
Brown trout,170102130510,4,14
Brown trout,170102130512,2,8
Brown trout,170102130514,3,0
Brown trout,170102130601,1,0
Brown trout,170102130602,6,3
Brown trout,170102130605,5,2
Brown trout,170102130606,4,1
Brown trout,170102130607,5,9
Brown trout,170102130702,2,6
Brown trout,170102130703,3,3
Brown trout,170102130704,7,13
Brown trout,170102130802,2,4
Brown trout,170102130803,9,6
Brown trout,170102130901,9,4
Brown trout,170102130902,8,8
Brown trout,170102130903,3,1
Brown trout,170102130904,6,12
Brown trout,170102130905,2,1
Brown trout,170102131001,1,3
Brown trout,170102131002,4,5
Brown trout,170102131004,10,6
Brown trout,170102131005,6,8
Brown trout,170102131006,2,9
Brown trout,170102131101,5,1
Brown trout,170102131102,14,15
Brown trout,170102131103,8,6
Brown trout,170102131104,6,9
Brown trout,170102131301,1,1
Brown trout,170102131302,6,3
Brown trout,170102131303,5,1
Brown trout,170102131305,5,8
Brown trout,170102131306,2,0
Brown trout,170102131307,1,0
Bull trout,170101010704,1,1
Bull trout,170101010705,1,5
Bull trout,170101010707,2,0
Bull trout,170101010801,12,18
Bull trout,170101010802,10,16
Bull trout,170101010803,7,11
Bull trout,170101010804,1,10
Bull trout,170101010805,1,0
Bull trout,170101010806,4,14
Bull trout,170101010902,9,8
Bull trout,170101010903,1,3
Bull trout,170101010908,1,0
Bull trout,170101011003,3,7
Bull trout,170101011201,1,6
Bull trout,170101011208,1,0
Bull trout,170101011211,10,17
Bull trout,170101011301,27,48
Bull trout,170101011303,4,6
Bull trout,170101011304,8,19
Bull trout,170101011305,5,14
Bull trout,170101011401,4,8
Bull trout,170101011402,6,9
Bull trout,170101011403,5,11
Bull trout,170101011501,3,9
Bull trout,170101011502,3,6
Bull trout,170101011504,6,17
Bull trout,170101011505,10,12
Bull trout,170101011601,1,1
Bull trout,170101011602,2,4
Bull trout,170101011603,8,9
Bull trout,170101011604,5,9
